ID,标题,类型,分数,实际分数,总人数,0星(短),1星(短),2星(短),3星(短),4星(短),5星(短),平均(短),人数(短),0星(长),1星(长),2星(长),3星(长),4星(长),5星(长),平均(长),人数(长)
28234567,干物妹！小埋 中配版,番剧,9.1,9.125248508946322,503,0,29,4,22,45,401,9.13373253493014,501,0,0,1,0,0,1,7.0,2
28234568,紫罗兰永恒花园 中配版,番剧,9.6,9.659911894273128,1135,0,23,6,18,45,1026,9.658318425760287,1118,0,0,0,0,2,15,9.764705882352942,17
28234569,理科生坠入情网，故尝试证明。 中配版,番剧,8.8,9.198757763975156,322,0,15,6,11,22,262,9.227848101265822,316,0,0,1,1,2,2,7.666666666666667,6
28234572,阿衰 第五季,国创,9.1,9.401129943502825,177,0,5,2,8,11,151,9.401129943502825,177,0,0,0,0,0,0,0,0
28234585,干物妹！小埋R 中配版,番剧,9.2,9.492227979274611,193,0,8,1,1,11,171,9.5,192,0,0,0,0,1,0,8.0,1
28234603,美影大乐园,国创,7.7,8.703196347031964,438,0,48,10,13,34,330,8.703448275862069,435,0,0,0,0,2,1,8.666666666666666,3
28234604,源神浩劫,国创,6.1,7.026806526806527,1716,0,484,97,89,115,915,7.035294117647059,1700,0,2,3,6,2,3,6.125,16
28234613,小林家的龙女仆 第二季,番剧,9.6,9.48637532133676,7780,0,352,51,77,185,7017,9.50533715178339,7682,0,16,6,2,12,62,8.0,98
28234614,转生成为了只有乙女游戏破灭Flag的邪恶大小姐 第二季,番剧,9.6,9.70140399446312,5057,0,47,40,81,238,4605,9.717421672320894,5011,0,1,4,10,11,20,7.956521739130435,46
28234615,阴晴不定大哥哥,番剧,9.8,9.901524443665673,5707,0,19,9,25,118,5492,9.904291011831186,5663,0,0,0,3,4,37,9.545454545454545,44
28234616,瓦尼塔斯的手记,番剧,9.7,9.763779527559056,4572,0,39,25,58,133,4247,9.786761439360284,4502,0,2,5,11,15,37,8.285714285714286,70
28234618,天官赐福 日语版,国创,9.7,9.503496503496503,1430,0,65,7,9,12,1186,9.513682564503519,1279,0,10,1,0,1,139,9.417218543046358,151
28234621,三三的生活果然有问题,国创,9.5,9.824561403508772,57,0,0,0,0,5,52,9.824561403508772,57,0,0,0,0,0,0,0,0
28234623,月光下的异世界之旅,番剧,9.2,9.346339940689871,6407,0,152,118,277,504,5297,9.363579080025206,6348,0,0,8,17,16,18,7.491525423728813,59
28234625,精灵幻想记,番剧,7.3,7.878335510356409,10718,0,1146,763,1370,1515,5788,7.896805896805897,10582,0,23,25,26,23,39,6.4411764705882355,136
28234626,异世界迷宫黑心企业,番剧,9.7,9.864715719063545,11960,0,55,31,79,308,11437,9.869185558354324,11910,0,1,1,6,11,31,8.8,50
28234627,见面5秒开始战斗,番剧,8.7,9.005040134403584,5357,0,175,147,359,724,3888,9.023993954279236,5293,0,7,8,11,8,30,7.4375,64
28234631,工作细胞：细胞大作战,番剧,9.2,9.216748768472906,406,0,16,6,17,42,323,9.217821782178218,404,0,0,0,0,1,1,9.0,2
28234637,侦探已死,番剧,7.1,7.319709104298997,10863,0,1516,1168,1628,1387,4994,7.341999438885252,10693,0,27,40,46,27,30,5.91764705882353,170
28234639,命运-冠位嘉年华,番剧,9.8,9.853715623171444,1709,0,21,0,11,19,1654,9.853372434017595,1705,0,0,0,0,0,4,10.0,4
28234640,桃子男孩渡海而来,番剧,4.5,4.725761772853185,2888,0,1435,344,269,195,595,4.711064129668781,2838,0,16,4,14,7,9,5.56,50
28234641,我立于百万生命之上（第二季）,番剧,8.0,8.541945445187855,3886,0,320,158,245,501,2588,8.5598111227702,3812,0,7,5,13,19,30,7.621621621621622,74
28234642,魔法纪录 魔法少女小圆外传 第二季,番剧,7.5,7.018113678950656,1601,0,280,171,219,187,676,7.054142204827136,1533,0,15,9,16,10,18,6.205882352941177,68
28234644,现实主义勇者的王国再建记,番剧,8.4,8.721595074036065,6821,0,438,235,429,771,4808,8.776829815895823,6681,0,31,26,26,20,37,6.085714285714285,140
28234646,开挂药师的奇幻世界悠闲生活,番剧,8.8,9.081255771006463,2166,0,93,32,126,253,1643,9.093619003260363,2147,0,1,2,4,4,8,7.684210526315789,19
28234647,白沙的水族馆,番剧,9.6,9.715411127523387,4062,0,34,29,81,167,3688,9.723930982745687,3999,0,0,1,5,13,44,9.174603174603174,63
28234650,漂流少年,番剧,9.7,9.837805089146617,11554,0,81,30,104,224,10751,9.848793565683646,11190,0,3,7,15,28,311,9.5,364
28234655,歌剧少女！！,番剧,9.7,9.855287569573283,2156,0,12,7,14,49,2032,9.861873226111637,2114,0,1,1,1,1,38,9.523809523809524,42
28234656,我，小怼,番剧,9.5,9.687591240875912,685,0,11,3,6,42,618,9.685294117647059,680,0,0,0,0,0,5,10.0,5
28234658,人偶学园,国创,9.8,9.911744022503516,17064,0,147,14,27,50,16734,9.913504595804856,16972,0,3,2,0,1,86,9.58695652173913,92
28234681,戴拿奥特曼,番剧,9.6,9.782026768642448,1046,0,18,1,5,18,979,9.798237022526934,1021,0,2,1,0,0,22,9.12,25
28234686,工作细胞 第二季（中配版）,番剧,9.4,9.555555555555555,180,0,8,0,1,6,164,9.553072625698324,179,0,0,0,0,0,1,10.0,1
28234687,隐瞒之事 电影剪辑版,番剧,9.8,9.919696147585459,1843,0,6,2,5,32,1777,9.920965971459934,1822,0,0,0,0,2,19,9.80952380952381,21
28234693,LoveLive 爱与演唱会!超级明星!!,番剧,9.7,9.755124653739612,10830,0,93,45,184,353,10044,9.770874148707902,10719,0,10,5,11,21,64,8.234234234234235,111
28234726,宝可梦：超梦的逆袭 进化,番剧,7.2,7.557522123893805,452,0,54,41,71,57,222,7.582022471910112,445,0,0,2,4,0,1,6.0,7
28234742,机动战士高达：闪光的哈萨维,番剧,9.8,9.907009021512838,2882,0,11,6,13,35,2775,9.913380281690142,2840,0,1,1,0,4,36,9.476190476190476,42
28234748,月野艺能事务所 第二季,番剧,9.2,9.106382978723405,47,0,3,1,1,4,38,9.106382978723405,47,0,0,0,0,0,0,0,0
